cat;cat;cat;cat;cat;cat;cat;cat;cat;cat
dog;dog;dog;dog;dog;dog;dog;dog;dog;dog
bird;bird;bird;bird;bird;bird;bird;bird;bird;bird
house;house;house;house;house;house;house;house;house;house
horse;horse;horse;horse;horse;horse;horse;horse;horse;horse
wall;wall;wall;wall;wall;wall;wall;wall;wall;wall
monkey;monkey;monkey;monkey;monkey;monkey;monkey;monkey;monkey;monkey
fish;fish;fish;fish;fish;fish;fish;fish;fish;fish
floor;floor;floor;floor;floor;floor;floor;floor;floor;floor
chiken;chiken;chiken;chiken;chiken;chiken;chiken;chiken;chiken;chiken
